index_name,date,close,high,low,bottom_structure,top_structure,bottom_divergence
创业板指,2021-05-13,2943.617,2967.616,2912.515,0,0,0
创业板指,2021-05-14,3033.806,3039.726,2942.98,0,0,0
创业板指,2021-05-17,3112.741,3130.205,3049.019,0,0,0
创业板指,2021-05-18,3090.123,3128.94,3068.764,0,0,0
创业板指,2021-05-19,3114.724,3128.601,3075.8,0,0,0
创业板指,2021-05-20,3143.616,3158.455,3112.556,0,0,0
创业板指,2021-05-21,3113.259,3171.899,3098.239,0,1,0
创业板指,2021-05-24,3139.686,3140.945,3075.449,0,0,0
创业板指,2021-05-25,3227.355,3232.739,3151.902,0,0,0
创业板指,2021-05-26,3196.848,3228.766,3185.769,0,0,0
创业板指,2021-05-27,3226.108,3238.454,3169.03,0,0,0
创业板指,2021-05-28,3232.291,3285.284,3215.029,0,0,0
创业板指,2021-05-31,3309.069,3309.749,3246.149,0,0,0
创业板指,2021-06-01,3300.159,3307.474,3242.905,0,0,0
创业板指,2021-06-02,3243.022,3310.493,3228.851,0,1,0
创业板指,2021-06-03,3201.784,3255.163,3201.232,0,0,0
创业板指,2021-06-04,3242.612,3281.264,3183.667,0,0,0
创业板指,2021-06-07,3228.243,3241.774,3197.91,0,0,0
创业板指,2021-06-08,3208.572,3275.783,3185.222,0,0,0
创业板指,2021-06-09,3207.626,3222.184,3183.057,0,0,0
创业板指,2021-06-10,3285.51,3301.16,3213.444,0,0,0
创业板指,2021-06-11,3298.497,3320.255,3266.357,0,0,0
创业板指,2021-06-15,3262.188,3306.436,3240.525,0,1,0
创业板指,2021-06-16,3125.701,3258.691,3122.814,0,0,0
创业板指,2021-06-17,3188.593,3197.543,3133.911,0,0,0
创业板指,2021-06-18,3239.227,3260.73,3198.289,0,0,0
创业板指,2021-06-21,3270.577,3288.736,3205.364,0,0,0
创业板指,2021-06-22,3281.992,3291.176,3220.417,0,0,0
创业板指,2021-06-23,3318.946,3341.962,3266.902,0,0,0
创业板指,2021-06-24,3279.159,3328.562,3260.031,0,1,0
创业板指,2021-06-25,3347.699,3355.885,3286.271,0,0,0
创业板指,2021-06-28,3412.863,3422.726,3345.208,0,0,0
创业板指,2021-06-29,3406.238,3445.872,3392.632,0,0,0
创业板指,2021-06-30,3477.178,3484.193,3389.96,0,0,0
创业板指,2021-07-01,3455.359,3500.739,3431.771,0,0,0
创业板指,2021-07-02,3333.897,3429.606,3329.824,0,1,0
创业板指,2021-07-05,3352.117,3387.099,3318.337,0,0,0
创业板指,2021-07-06,3291.988,3367.754,3240.869,0,0,0
创业板指,2021-07-07,3409.589,3419.695,3261.317,0,0,0
创业板指,2021-07-08,3432.957,3469.596,3418.699,0,0,0
创业板指,2021-07-09,3409.309,3428.297,3334.272,0,0,0
创业板指,2021-07-12,3534.763,3554.073,3426.013,0,0,0
创业板指,2021-07-13,3514.977,3560.884,3478.274,0,0,0
创业板指,2021-07-14,3488.627,3539.552,3464.917,0,1,0
创业板指,2021-07-15,3537.391,3537.391,3453.353,0,0,0
创业板指,2021-07-16,3432.647,3525.271,3428.976,0,0,0
创业板指,2021-07-19,3449.526,3482.087,3420.401,0,0,0
创业板指,2021-07-20,3463.791,3491.052,3418.765,0,0,0
创业板指,2021-07-21,3560.045,3568.698,3473.145,0,0,0
创业板指,2021-07-22,3544.436,3576.119,3512.718,0,0,0
创业板指,2021-07-23,3469.873,3542.276,3461.616,0,1,0
创业板指,2021-07-26,3371.228,3464.741,3292.202,0,0,0
创业板指,2021-07-27,3232.839,3423.454,3232.839,0,0,0
创业板指,2021-07-28,3284.92,3306.503,3157.994,0,0,0
创业板指,2021-07-29,3459.721,3467.896,3338.132,0,0,0
创业板指,2021-07-30,3440.182,3479.376,3402.326,0,0,0
创业板指,2021-08-02,3493.359,3500.334,3399.642,0,0,0
创业板指,2021-08-03,3477.229,3517.095,3447.141,0,0,0
创业板指,2021-08-04,3563.127,3564.274,3445.054,0,0,0
创业板指,2021-08-05,3532.5,3569.838,3507.033,0,0,0
创业板指,2021-08-06,3490.902,3548.341,3469.119,0,0,0
创业板指,2021-08-09,3456.747,3466.88,3412.863,0,0,0
创业板指,2021-08-10,3468.67,3470.972,3422.377,0,0,0
创业板指,2021-08-11,3437.058,3471.937,3422.864,0,0,0
创业板指,2021-08-12,3386.432,3439.413,3379.421,0,0,0
创业板指,2021-08-13,3345.126,3432.818,3328.7,0,0,0
创业板指,2021-08-16,3301.391,3346.801,3288.045,0,0,0
创业板指,2021-08-17,3224.153,3326.082,3211.245,0,0,0
创业板指,2021-08-18,3248.373,3269.216,3219.054,0,0,0
创业板指,2021-08-19,3278.357,3304.431,3231.361,0,0,0
创业板指,2021-08-20,3192.9,3265.631,3162.756,0,0,0
创业板指,2021-08-23,3293.77,3296.364,3202.806,0,0,0
创业板指,2021-08-24,3330.58,3351.927,3269.864,0,0,0
创业板指,2021-08-25,3348.662,3348.889,3295.464,0,0,0
创业板指,2021-08-26,3264.45,3368.655,3262.682,0,0,0
创业板指,2021-08-27,3257.072,3296.684,3243.18,0,0,0
创业板指,2021-08-30,3271.802,3316.635,3249.865,0,0,0
创业板指,2021-08-31,3214.117,3273.813,3181.353,0,0,0
创业板指,2021-09-01,3186.85,3222.467,3128.269,0,0,1
创业板指,2021-09-02,3138.803,3200.036,3133.761,0,0,0
创业板指,2021-09-03,3102.145,3165.211,3088.775,0,0,0
创业板指,2021-09-06,3228.088,3231.568,3085.155,1,0,1
创业板指,2021-09-07,3251.487,3256.526,3203.683,0,0,0
创业板指,2021-09-08,3219.947,3282.454,3215.475,0,0,0
创业板指,2021-09-09,3221.941,3244.075,3174.029,0,0,0
创业板指,2021-09-10,3232.01,3241.87,3189.971,0,0,0
创业板指,2021-09-13,3194.275,3260.329,3183.442,0,0,0
创业板指,2021-09-14,3236.547,3275.94,3197.896,0,0,0
创业板指,2021-09-15,3200.399,3234.125,3185.648,0,0,0
创业板指,2021-09-16,3128.845,3199.459,3127.786,0,0,0
创业板指,2021-09-17,3193.261,3201.447,3122.323,0,0,0
创业板指,2021-09-22,3164.328,3199.765,3141.235,0,0,0
创业板指,2021-09-23,3182.467,3210.641,3160.583,0,0,0
创业板指,2021-09-24,3207.817,3250.139,3169.504,0,0,0
创业板指,2021-09-27,3231.583,3280.301,3211.613,0,0,0
创业板指,2021-09-28,3211.454,3272.94,3202.619,0,0,0
创业板指,2021-09-29,3175.152,3209.692,3165.487,0,0,0
创业板指,2021-09-30,3244.646,3257.668,3180.914,0,0,0
创业板指,2021-10-08,3243.204,3285.73,3224.06,0,0,0
创业板指,2021-10-11,3196.189,3257.364,3190.665,0,0,0
创业板指,2021-10-12,3138.263,3196.706,3106.472,0,0,0
创业板指,2021-10-13,3210.159,3211.341,3140.016,0,0,0
创业板指,2021-10-14,3215.736,3238.155,3204.923,0,0,0
创业板指,2021-10-15,3276.321,3284.653,3187.404,0,0,0
创业板指,2021-10-18,3276.484,3287.039,3231.045,0,0,0
创业板指,2021-10-19,3297.293,3310.021,3273.545,0,0,0
创业板指,2021-10-20,3285.122,3320.332,3276.825,0,0,0
创业板指,2021-10-21,3279.487,3304.005,3256.853,0,0,0
创业板指,2021-10-22,3284.911,3309.561,3268.937,0,0,0
创业板指,2021-10-25,3338.624,3342.221,3302.485,0,0,0
创业板指,2021-10-26,3327.537,3370.785,3322.193,0,0,0
创业板指,2021-10-27,3308.962,3324.347,3283.726,0,0,0
创业板指,2021-10-28,3278.359,3335.928,3266.312,0,0,0
创业板指,2021-10-29,3350.665,3358.349,3253.043,0,0,0
创业板指,2021-11-01,3331.915,3374.536,3302.959,0,0,0
创业板指,2021-11-02,3339.597,3373.179,3307.504,0,0,0
创业板指,2021-11-03,3327.085,3363.753,3301.437,0,1,0
创业板指,2021-11-04,3362.249,3380.209,3344.761,0,0,0
创业板指,2021-11-05,3352.754,3383.296,3347.158,0,1,0
创业板指,2021-11-08,3380.292,3393.387,3341.602,0,0,0
创业板指,2021-11-09,3409.942,3409.942,3377.513,0,0,0
创业板指,2021-11-10,3399.663,3403.31,3338.46,0,0,0
创业板指,2021-11-11,3433.241,3443.961,3393.984,0,0,0
创业板指,2021-11-12,3430.141,3446.036,3409.479,0,0,0
创业板指,2021-11-15,3401.874,3435.68,3387.531,0,0,0
创业板指,2021-11-16,3393.715,3423.519,3389.546,0,0,0
创业板指,2021-11-17,3421.329,3425.57,3400.771,0,0,0
创业板指,2021-11-18,3383.906,3416.643,3374.011,0,0,0
创业板指,2021-11-19,3418.96,3419.746,3378.377,0,0,0
创业板指,2021-11-22,3505.727,3505.727,3430.592,0,0,0
创业板指,2021-11-23,3492.769,3508.898,3482.688,0,0,0
创业板指,2021-11-24,3478.662,3501.579,3469.364,0,1,0
创业板指,2021-11-25,3474.451,3490.621,3462.125,0,0,0
创业板指,2021-11-26,3468.865,3501.341,3461.194,0,0,0
创业板指,2021-11-29,3503.409,3522.504,3455.608,0,0,0
创业板指,2021-11-30,3495.593,3520.294,3472.583,0,1,0
创业板指,2021-12-01,3473.366,3501.334,3459.514,0,0,0
创业板指,2021-12-02,3466.914,3487.935,3456.312,0,0,0
创业板指,2021-12-03,3478.666,3482.46,3446.954,0,0,0
创业板指,2021-12-06,3405.935,3479.862,3403.159,0,0,0
创业板指,2021-12-07,3368.784,3429.84,3338.004,0,0,0
创业板指,2021-12-08,3424.704,3428.228,3378.281,0,0,0
创业板指,2021-12-09,3459.319,3463.652,3400.381,0,0,0
创业板指,2021-12-10,3466.797,3485.08,3429.572,0,0,0
